"sku","category","total_quantity_sold","days_since_last_sale","inventory_action"
"J0328-KR-XL","kurta","2","1255","SLOW - Clearance Sale"
"JNE3457-KR-XXXL","kurta","1","1255","SLOW - Clearance Sale"
"SET195-KR-NP-A-L","Set","1","1254","SLOW - Clearance Sale"
"JNE3532-KR-XXL","kurta","1","1254","SLOW - Clearance Sale"
"J0094-KR-XXXL","kurta","2","1254","SLOW - Clearance Sale"
"JNE3447-KR-M","kurta","1","1254","SLOW - Clearance Sale"
"SET336-KR-NP-L","Set","1","1254","SLOW - Clearance Sale"
"JNE3065-KR-L","kurta","1","1254","SLOW - Clearance Sale"
"BL023-74PINK-B","Blouse","1","1254","SLOW - Clearance Sale"
"SET245-KR-NP-L","Set","1","1254","SLOW - Clearance Sale"
"JNE3528-KR-XXL","kurta","2","1254","SLOW - Clearance Sale"
"JNE3472-KR-XXXL","kurta","1","1254","SLOW - Clearance Sale"
"JNE3686-TU-XXXL","Top","1","1254","SLOW - Clearance Sale"
"J0160-TP-S","Top","1","1254","SLOW - Clearance Sale"
"J0196-TP-M","Top","1","1254","SLOW - Clearance Sale"
"SET271-KR-NP-XXXL","Set","1","1254","SLOW - Clearance Sale"
"BTM047-PP-L","Bottom","1","1254","SLOW - Clearance Sale"
"SET358-KR-NP-L","Set","1","1254","SLOW - Clearance Sale"
"SET198-KR-NP-A-XXXL","Set","1","1254","SLOW - Clearance Sale"
"JNE3642-TP-XXL","Top","1","1254","SLOW - Clearance Sale"
"JNE2291-KR-602-XL","kurta","1","1254","SLOW - Clearance Sale"
"JNE3759-KR-XXL","kurta","1","1254","SLOW - Clearance Sale"
"SET251-KR-PP-L","Set","1","1254","SLOW - Clearance Sale"
"J0155-KR-S","kurta","1","1254","SLOW - Clearance Sale"
"J0345-SET-M","Set","2","1254","SLOW - Clearance Sale"
"J0299-KR-XXL","kurta","2","1254","SLOW - Clearance Sale"
"SET336-KR-NP-M","Set","1","1254","SLOW - Clearance Sale"
"J0155-KR-L","kurta","1","1254","SLOW - Clearance Sale"
"J0302-DR-XXXL","Western Dress","2","1254","SLOW - Clearance Sale"
"J0401-DR-M","Western Dress","1","1254","SLOW - Clearance Sale"
"PSET058-KR-NP-5XL","Set","1","1254","SLOW - Clearance Sale"
"J0034-SET-XL","Set","1","1254","SLOW - Clearance Sale"
"J0120-TP-L","Top","1","1254","SLOW - Clearance Sale"
"JNE3530-KR-S","kurta","1","1254","SLOW - Clearance Sale"
"JNE3813-KR-L","kurta","1","1254","SLOW - Clearance Sale"
"J0328-KR-M","kurta","1","1254","SLOW - Clearance Sale"
"SET274-KR-PP-L","Set","1","1254","SLOW - Clearance Sale"
"JNE3042-KR-L","kurta","1","1253","SLOW - Clearance Sale"
"JNE3524-KR-XXXL","kurta","1","1253","SLOW - Clearance Sale"
"J0154-DR-L","Western Dress","2","1253","SLOW - Clearance Sale"
"JNE3466-KR-XXXL","kurta","1","1253","SLOW - Clearance Sale"
"JNE3644-TP-N-XS","Top","2","1253","SLOW - Clearance Sale"
"SET097-KR-PP-L","Set","1","1253","SLOW - Clearance Sale"
"J0112-TP-S","Top","2","1253","SLOW - Clearance Sale"
"J0133-KR-XXL","kurta","1","1253","SLOW - Clearance Sale"
"SET037-KR-NP-M","Set","1","1253","SLOW - Clearance Sale"
"JNE3835-KR-M","kurta","2","1253","SLOW - Clearance Sale"
"J0196-TP-XL","Top","1","1253","SLOW - Clearance Sale"
